timestamp,head_pitch,head_roll,head_movement,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma,heart_rate_bpm,breathing_rate_bpm
1762639193.4459,-23.831673376065943,-7.391405206666868,0.955895937806167,177914.7755925884,148892.80358623754,14524.262627567748,1699.4861641640769,112.72700350046615,29189.877144003636,16981.05710188809,2610.901061185897,799.4645569368731,690.0351040035632,884.0128035830649,695.5452661641932,240.6881062178639,55.41137469189969,78.593085507996,255445.76956115675,170075.80699187165,11386.54133022983,1704.437526446897,75.66989545489024,44.91228070175438,14.600760456273765
1762639194.4805388,-34.84244617196152,4.304874652939444,1.0135111353030957,178831.66887052593,118983.08726584924,13770.252368237203,1772.0106665385322,135.65718786756707,25980.362155756775,15911.202634166337,2399.52227349581,844.791818615519,683.7968326723143,830.6930894158467,616.562845040729,233.35666017926093,55.80065793906468,80.73663883690145,293538.7583467711,138674.23208292903,10400.394986149242,1777.8878819086456,57.64660742746168,51.2,14.65648854961832
1762639195.4813209,-22.2413227757289,-1.391803718428571,0.9936341117667371,166041.89065148053,99288.18458912236,16917.397414757503,1681.0687276036656,153.78663187801675,30314.261741902832,13400.697276973984,2417.461211486481,721.533850247445,634.0236987935664,915.4035357325115,447.2899066079157,242.58693408945044,54.15135428138912,79.81739347714698,243550.36508124205,115571.1793399473,10986.017214961641,1495.2596199836971,77.25490710243591,46.265060240963855,18.640776699029125
1762639196.492047,-26.2349675483179,-0.3854703625329664,1.0012982927142238,160238.52030654554,73370.28276059545,13634.657307977419,1344.8174264769011,126.65670604717845,26840.92536437489,13401.347461403611,2249.9264630392677,819.5435652200539,654.7420936370943,1166.2641989229476,367.5024906727642,235.74915809124556,58.85629057224732,80.37174713777691,321218.29296801385,95130.98825121661,9762.65896840422,1564.3651656677148,57.120837228648824,50.19607843137255,19.2964824120603
1762639197.525909,-22.748642461482287,-2.6942399589809023,1.0067066368390334,146808.38654987112,56345.67267816897,13817.551355506625,1445.1806889559114,152.17948085434477,70683.90141474643,9548.138280532105,1935.906444421591,525.3995770925579,521.3647763148688,971.929184415675,302.37876950367314,232.9533080208807,58.95687978907721,83.4356354805536,309501.38607924525,70705.80818900219,11273.008577722576,1630.7376280196404,66.47669358738955,48.0,13.28719723183391
1762639198.5583518,-17.438761995539856,-7.940875569824694,1.0081349779606619,175519.54478623514,65235.5317497607,13762.411783960664,1676.767388575736,141.44988793576317,91572.18946792037,12625.13822434394,2017.9962355520317,682.1594683689397,558.758787967683,1288.5627434342985,277.08997641757975,225.79118556237543,65.5139654840096,81.65610142380739,325122.98176985496,72218.52119342123,12624.571944959414,1582.444062787723,74.27745479342154,49.87012987012987,15.705521472392638
1762639199.561354,-14.979072350339312,-6.5101610590195,1.001958203760811,175097.76345632374,73363.47620919746,12957.646975778533,2153.5720342079117,166.1630005863231,120470.3497932646,13033.866257837999,1875.1121463299717,743.2380938311964,555.7791334101618,1551.0000590867216,266.0587979758894,212.67585138238874,63.28546313294297,83.1350955418876,333616.3976834716,81406.36427917151,13698.535164558449,1918.5669772231029,88.71122738039018,48.607594936708864,16.375266524520256
1762639200.5847192,-12.110452540978468,-1.9087951582605278,1.000782417872896,141998.96067053068,76730.18522245601,14850.41182406824,2187.417368056686,164.99408399758804,110582.96759794638,12715.005177742383,1957.9067455429145,740.5186046963471,556.082273570879,1790.7173403413044,269.74039152803834,212.99479979487455,65.9053345120795,81.53325650400966,286865.8091440851,88986.34172212612,16214.671138581745,1906.5513015559884,113.51263315323065,47.407407407407405,17.902097902097903
1762639201.620545,-24.287329259299508,-0.04588249623498111,1.003421311902161,134918.8527276349,71695.79131954428,14677.02793434446,2370.88962965711,156.91904144359688,127916.33994167166,17252.59962455403,2070.849030139195,749.0270886942964,601.3032562871874,1685.1069179524347,244.6193432914735,207.59416644533172,68.00442045629957,81.94038417919998,340700.20697251346,81421.15776703854,15924.721847811688,2178.329882152423,87.4635994583356,51.891891891891895,18.55072463768116
1762639202.6385548,-25.81878310920877,2.0077298756558304,1.0083164961517264,156438.68711930793,73709.47824772747,18659.603127078284,3056.1518176964773,178.1312880187601,138939.6552955282,22104.130306107458,1860.8968032669854,679.1409607698722,553.4866261744086,1890.1119365481136,316.99005524343,195.89447449304197,69.4580548232949,82.88605988131789,288685.75118154834,107501.69246469464,16588.742479475317,2676.642608826341,122.7601387910656,71.11111111111111,18.19905213270142
1762639203.642306,-28.332997470280755,1.2146809434191201,1.0074896702329685,143729.65704871787,67467.81462049288,15667.008544461225,2327.529101546669,126.81619258956108,129978.11069929216,19938.83014805608,1714.5747628427373,666.4879530475534,533.8502419380521,1715.354940379944,301.8344891351184,211.44381434940274,65.51837368559165,82.0879177118547,309674.2296328171,88027.96772202164,15862.925075621733,2057.5121432840833,94.60865109093241,71.11111111111111,15.483870967741936
1762639204.6523368,-27.43488102304128,1.3881431375003308,0.999236706434363,154526.42069989844,65728.35755909274,15935.675228379427,2722.024544882649,128.25666689199576,140973.49144860078,21217.58139933073,1613.3156194583078,662.1472420047141,470.3645722086257,1752.2513070002144,294.6981110296831,179.04305515996876,70.53139559902446,82.62237453462669,271733.75418456714,95351.88893687981,15110.171670258722,2486.7462762941295,108.21711019943882,71.11111111111111,14.463276836158192
1762639205.683698,-12.008788160950642,-3.624946130493783,1.0047285979842986,139259.13463145052,68173.0864861146,16686.855029739876,2603.5204583881896,126.96460213809841,139508.25863649606,21301.570073156585,1550.007156695467,619.235278479366,448.5472962908236,1772.219223197283,318.6465723356465,167.4918121626255,74.28378302733812,81.87060274718279,242843.85222266446,99938.9421909834,17038.34276745587,2423.1492408203294,116.52930763490328,62.950819672131146,23.558282208588956
1762639206.684654,-10.259740892006567,-3.3484813347823263,0.998229776353609,140476.33805542206,63026.98920962195,12578.631475672662,2449.8171988042163,98.83504643710701,136150.449439359,20179.1642446987,1425.22140823352,591.2915047113065,420.3494673955588,1807.006871329911,263.70145536997364,153.94998103896762,69.74441114589496,82.35937292016467,232913.6251535199,85470.54551042471,14771.410160108828,2263.228349758705,79.16824080428266,51.54362416107382,6.956521739130435
1762639207.6962628,-9.597017042617075,-3.7504049550622147,1.0078725503122714,164441.13564663427,61953.62790121825,16132.440205292796,2861.226593469341,117.10613256937218,120314.81188261781,22539.30982196705,1507.6647809423648,479.21136476242066,379.49393208111167,1884.5458921359507,258.0302797103995,133.13044452757012,73.26445336097116,84.54252395847816,218880.08092898043,103630.12320241002,15278.07518351584,2439.129931894132,100.84088866878423,61.935483870967744,8.668171557562077
1762639208.729853,-12.232793528773607,-4.854508043138852,1.0007178029150476,163111.0884223053,60175.48841186304,15385.761550623147,2567.727946263363,114.23324409333158,114294.31248400765,22367.73572124558,1555.2408615852617,481.02029386374,430.12787890505473,1900.9465464927798,292.4059017637736,167.83156432938566,70.13844305697285,83.05388768334969,182834.26253620855,89028.60789289328,16080.846372703514,1884.7066729329542,81.34580945653335,55.25179856115108,7.370441458733206
1762639209.731654,-15.517697866898773,-4.350690094934324,1.0145308777512627,157168.33589989797,55665.67739937942,14922.401587316372,2996.2998276674284,112.62323771183266,105554.90020609075,16557.657912168164,1312.1805633293914,345.31428057476734,461.31372672795567,3040.8860122995466,409.0021204235972,145.0453169527513,75.73931803004159,83.9715555001483,211198.76638372274,98259.154369559,13417.590710096656,2255.4933662331746,75.98232563981308,61.935483870967744,8.0
1762639210.740942,-15.210484094666029,-4.626007455098749,1.0014894154141447,162815.16152557926,52951.06749492435,13979.123099882572,2919.956045558594,125.52209313563178,56214.62132275546,5569.596334333149,4204.860726086359,822.4534737765697,410.57144240600337,2818.2531674753386,522.0049809104647,193.3971347352046,73.5771340108265,91.05549946361701,200222.56847620316,87474.6421930982,14941.115481821034,1969.4426359911881,67.40521000380461,56.470588235294116,10.622406639004149
1762639211.775944,-15.48209052315911,-4.292680935489203,1.0001153836876109,183611.25045015544,63124.059890848235,14151.057440525534,3333.665744043059,117.3939228133718,50175.67065736081,7287.906739609166,5700.6132678808135,848.1478163560807,487.95982639098827,3441.9433439868635,692.5404709884396,269.59068258018175,76.82318883349336,88.35844612546863,230993.2195412704,91394.01133926942,14433.219606926632,2048.2856367008703,71.21087639125976,48.0,11.377777777777778
1762639212.8085692,-15.891465373265355,-4.389017735129878,1.0075348334619276,185886.97504718145,63756.854054419535,13724.421779319655,3320.917159453301,101.91556948318994,71166.8713577305,8017.265940374033,4222.417340096194,1304.9009977705466,421.56041052066223,3973.8273546743294,968.2868290790545,282.3150290752103,83.58707510305832,83.84994113997806,291122.00564134115,100730.12354502444,15454.186749356344,2495.32689133081,91.69814764078419,54.08450704225352,12.367149758454106
1762639213.811096,-15.715789323510515,-4.760932643971664,1.0022847241838664,179618.35459557292,64449.950359643546,13779.334707190068,3521.1872930712316,114.19857700879137,124467.1105318829,19296.37437376395,2162.170487781911,658.3337799482084,486.96466592780916,4743.709641636741,964.9426053292271,292.7520121263293,105.50316041406869,81.80319326631995,239285.34765373034,87840.20910494997,15610.270723187601,1913.9251566639318,76.38519734237515,54.857142857142854,13.544973544973544
1762639214.821568,-15.78341016384328,-4.849777904163048,0.9985478979733993,187752.60523202832,70736.8787013248,17018.402912671783,4052.6081204762745,107.75305788925155,135122.83817695774,21723.92752205348,2284.496034492019,632.4522930059087,505.1253620484392,4650.431674311975,1107.8251598168981,365.8948641234604,105.25012898887378,84.48491537479919,240703.84866298665,109950.10595082094,13565.23525272699,2277.5845250173975,87.42055052305457,54.857142857142854,7.370441458733206
1762639215.8556411,-15.405241878322608,-4.478596161866831,1.0029148610304692,192032.21287858102,65515.34166784043,14656.381872678168,3545.4386265757003,100.78255318585414,107936.04889925277,15810.535215253787,2036.8399921137475,515.7628965578615,519.9864930760987,8819.028827556609,1059.7651763780448,353.1752560535498,92.14055908009607,90.39017424560029,323605.66342914826,76889.44219536353,14496.274349272333,1985.8085652028471,73.04471503478425,53.333333333333336,8.135593220338983
